Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
478,Ed Sheeran - Don't,68,,14,,5676251,226163018
479,The Chainsmokers - This Feeling,34,,23,,13756039,225497957
480,Taylor Swift - ME!,26,,13,,18447537,224914963
481,Silk City - Electricity,27,,14,,15978272,223732001
482,Camila Cabello - Liar,21,,22,,14686481,223111023
483,Carlos Vives - La Bicicleta,51,,56,,5853593,222884921
484,The Chainsmokers - Takeaway,25,,28,,12667051,222054649
485,Roddy Ricch - The Box,7,4.0,2,(x3),48937592,221703729
486,Wolfine - Bella,25,,28,,12354627,221455894
487,The Chainsmokers - Who Do You Love,28,,33,,14072352,221286400
488,Anuel Aa - Amanece,29,,45,,10600299,221217583
489,Charlie Puth - Marvin Gaye,54,,17,,7806400,220663893
490,Ariana Grande - One Last Time,65,,12,,7702106,218601836
491,Dante Klein - Let Me Hold You (Turn Me On),30,,24,,12086971,217246072
492,Kygo - Remind Me to Forget,28,,29,,12515053,216618108
493,Migos - Stir Fry,24,,16,,15232093,216310252
494,Drake - Don’t Matter To Me,16,3.0,2,(x2),43314851,215855111
495,Zion & Lennox - La Player (Bandolera),33,,56,,8532826,215840858
496,Polo G - Pop Out,30,,40,,11314759,215823098
497,Nacho - Báilame - Remix,35,,58,,7574934,215481114
498,Rita Ora - Anywhere,31,,39,,10477243,214945458
499,Dua Lipa - Kiss and Make Up,27,,16,,15971199,214921277
500,Halsey - Now Or Never,28,,30,,12920355,214447457
501,Kygo - Born To Be Yours,25,,25,,13905970,214433458
502,Shawn Mendes - Lost In Japan,37,,23,,13124790,212680980
503,Kygo - First Time,25,,19,,16614825,212407968
504,Childish Gambino - This Is America,17,4.0,1,(x1),34989790,212334789
505,The Chainsmokers - Call You Mine,26,,22,,15398512,212087919
506,Rudimental - Lay It All on Me,37,,19,,8560701,211590046
507,David Guetta - Say My Name,34,,68,,7603228,211424453
508,Bebe Rexha - I'm a Mess,35,,52,,8415994,210746577
509,A$AP Ferg - Plain Jane,34,,37,,10167689,210566105
510,Post Malone - Go Flex,47,,52,,8195550,210184413
511,OneRepublic - Rescue Me,27,,32,,11420849,210119346
512,Selena Gomez - Bad Liar,21,1.0,6,,21906196,209963906
513,Piso 21 - Te Vi,27,,50,,9809358,209890194
514,Ava Max - So Am I,29,,41,,11011053,209760977
515,Selena Gomez - Same Old Love,38,,14,,9262867,209491177
516,Iggy Azalea - Fancy,58,16.0,3,(x1),7546352,209371857
517,Jonas Brothers - Only Human,32,,31,,12051256,208964334
518,Aminé - Caroline,37,,39,,8370040,207297009
519,Harry Styles - Lights Up,16,2.0,5,,26362706,207221353
520,Billie Eilish - you should see me in a crown,31,,15,,18860942,206784233
521,Timeflies - Once In a While,35,,36,,8970838,206602805
522,Lorde - Royals,71,23.0,1,(x1),5902632,205792336
523,Khalid - OTW,28,,24,,12410529,205369287
524,Post Malone - Take What You Want,19,1.0,6,,27875018,205328388
525,Andy Williams - It's the Most Wonderful Time of the Year,25,1.0,10,,23412959,204098918
526,Charlie Puth - One Call Away,42,,27,,9043713,203614954
527,Anuel Aa - Sola (Remix),44,,90,,5509589,203123678
528,Maluma - Borro Cassette,70,,76,,3538813,203086775
529,Nick Jonas - Close,27,,24,,11400512,202863388
530,Daddy Yankee - Adictiva,27,,37,,10882484,202658149
531,"Flo Rida - I Don't Like It, I Love It",51,1.0,9,,8755532,202657050
532,Carlos Vives - Robarte un Beso,35,,61,,7004001,201832946
533,CNCO - Hey DJ,34,,52,,8759763,201308367
534,Bryson Tiller - Don't,55,,37,,6334569,200376769
535,Brenda Lee - Rockin' Around The Christmas Tree,21,1.0,9,,24401078,200319873
536,Daddy Yankee - La Rompe Corazones,38,,73,,6121850,199142951
537,Sam Smith - Too Good At Goodbyes - Edit,8,8.0,1,(x1),30706135,197619743
538,Selena Gomez - Kill Em With Kindness,29,,22,,12791228,196959381
539,Deorro - Five More Hours - Deorro x Chris Brown,51,,17,,7687290,196912591
540,Keala Settle - This Is Me,29,,30,,12318355,195715437
541,Troye Sivan - YOUTH,42,,35,,7728959,195444169
542,Piso 21 - Me Llamas,45,,87,,5308014,195407150
543,Alessia Cara - Here,46,,21,,7816018,195246905
544,Major Lazer - Know No Better,22,,31,,12632455,194970453
545,Avicii - Hey Brother,60,24.0,2,(x2),13532381,194753156
546,OMI - Cheerleader - Felix Jaehn Remix Radio Edit,49,,14,,8657981,194611409
547,Rauw Alejandro - Fantasias,18,,28,,12613248,194436420
548,Alex Sensation - Que Va,32,,54,,8180443,193835148
549,Justin Bieber - Mistletoe,29,,17,,20802468,193415715
550,Gucci Mane - I Get The Bag,32,,45,,9649817,193348876
551,Zac Efron - Rewrite The Stars,27,,20,,13767744,192824494
552,Famous Dex - PICK IT UP,33,,60,,7738660,191727347
553,Camila Cabello - Crying in the Club,24,,33,,12362727,191612776
554,David Guetta - Like I Do,23,,24,,13691658,190243313
555,Milky Chance - Stolen Dance,64,,11,,5886704,190227561
556,BLACKPINK - Kill This Love,20,1.0,5,,25341137,190171652
557,Sia - The Greatest,20,6.0,5,,21392605,189854449
