artist,title,views,decade
Childish Gambino,Redbone,11798468,2013-2020
Sheck Wes,Mo Bamba,17459536,2013-2020
Hailee Steinfeld,Let Me Go,14630730,2013-2020
Calvin Harris,How Deep Is Your Love,13109875,2013-2020
Jonas Blue,Rise,20761497,2013-2020
OneRepublic,Counting Stars,5067704,2013-2020
Avicii,Wake Me Up,20549219,2013-2020
David Guetta,2U,30303727,2013-2020
Mabel,Don't Call Me Up,17704582,2013-2020
Shakira,Chantaje,16232454,2013-2020
Alec Benjamin,Let Me Down Slowly,14487348,2013-2020
Travis Scott,BUTTERFLY EFFECT,12187233,2013-2020
Selena Gomez,Back To You,24186683,2013-2020
Passenger,Let Her Go,3944815,2013-2020
Jhay Cortez,No Me Conoce - Remix,14989110,2013-2020
Fetty Wap,Trap Queen,10544238,2013-2020
DJ Snake,Loco Contigo,20067945,2013-2020
Ellie Goulding,Love Me Like You Do,19080054,2013-2020
Shawn Mendes,Mercy,13031872,2013-2020
Khalid,Talk,18389998,2013-2020
Ozuna,Vaina Loca,16043684,2013-2020
Calvin Harris,Slide,18367402,2013-2020
6ix9ine,FEFE,31741382,2013-2020
Migos,Bad and Boujee,18866776,2013-2020
Rae Sremmurd,Black Beatles,32026901,2013-2020
Arizona Zervas,ROXANNE,34104838,2013-2020
Drake,Money In The Grave (Drake ft. Rick Ross),25117868,2013-2020
J Balvin,LA CANCIÓN,15922336,2013-2020
Tiësto,Jackie Chan,21601280,2013-2020
Lunay,Soltera - Remix,19467987,2013-2020
Kygo,Firestone,8534894,2013-2020
ROSALÍA,Con Altura,12456504,2013-2020
Eminem,Lose Yourself,4391774,2013-2020
Oasis,Wonderwall - Remastered,4687079,2013-2020
Ariana Grande,Into You,15071769,2013-2020
Post Malone,White Iverson,6058616,2013-2020
Natti Natasha,Criminal,12517942,2013-2020
Calvin Harris,My Way,19655559,2013-2020
Lauv,i'm so tired...,15889051,2013-2020
Wham!,Last Christmas,37725693,2013-2020
Jason Derulo,Want to Want Me,13288062,2013-2020
Imagine Dragons,Natural,14639164,2013-2020
OMI,Cheerleader (Felix Jaehn Remix),13557794,2013-2020
Lil Nas X,Panini,24238981,2013-2020
Zara Larsson,Never Forget You,10871263,2013-2020
Ariana Grande,God is a woman,29847494,2013-2020
XXXTENTACION,Look At Me!,11076255,2013-2020
Sech,Otro Trago,25377792,2013-2020
Galantis,No Money,17305382,2013-2020
Shawn Mendes,In My Blood,21904395,2013-2020
Imagine Dragons,Radioactive,3353347,2013-2020
Cheat Codes,Sex,16271653,2013-2020
Travis Scott,HIGHEST IN THE ROOM,48161108,2013-2020
Wisin,Escápate Conmigo,10495140,2013-2020
Post Malone,Candy Paint,17508038,2013-2020
Mike Perry,The Ocean,14759290,2013-2020
Zion & Lennox,Otra vez,7496050,2013-2020
Dennis Lloyd,Nevermind,15423526,2013-2020
Lil Wayne,Sucker For Pain,18557325,2013-2020
KYLE,iSpy,14064647,2013-2020
Queen,Don't Stop Me Now - Remastered,9119911,2013-2020
Vance Joy,Riptide,5217839,2013-2020
Lil Pump,Gucci Gang,23269004,2013-2020
Eminem,River,29880509,2013-2020
Queen,Another One Bites The Dust - Remastered 2011,11262150,2013-2020
Chris Brown,No Guidance,18038661,2013-2020
Drake,Jumpman,8120994,2013-2020
DRAM,Broccoli,10613142,2013-2020
Kendrick Lamar,DNA.,30933703,2013-2020
Avicii,SOS,28587934,2013-2020
Camila Cabello,Never Be the Same,22147865,2013-2020
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,14719156,2013-2020
Martin Jensen,Solo Dance,12133568,2013-2020
Anuel Aa,Secreto,20003882,2013-2020
A Boogie Wit da Hoodie,Swervin,14029976,2013-2020
Drake,Controlla,11928894,2013-2020
blackbear,hot girl bummer,20814917,2013-2020
Becky G,Sin Pijama,15017587,2013-2020
Cardi B,Bodak Yellow,14718755,2013-2020
Jessie J,Bang Bang,7863797,2013-2020
Flo Rida,My House,12794270,2013-2020
Imagine Dragons,Demons,4612466,2013-2020
Ellie Goulding,Close To Me,13523043,2013-2020
Ali Gatie,It's You,13084417,2013-2020
Kygo,Stole the Show,11026528,2013-2020
Dua Lipa,Don't Start Now,29149812,2013-2020
Kygo,Stay,11818636,2013-2020
Reik,Me Niego,13488299,2013-2020
Katy Perry,Dark Horse,7952065,2013-2020
Kendrick Lamar,LOVE. FEAT. ZACARI.,18211340,2013-2020
Selena Gomez,Lose You To Love Me,47227738,2013-2020
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),26494583,2013-2020
Young Thug,The London,22075360,2013-2020
Avicii,Lonely Together,13456689,2013-2020
Avicii,Without You,17362815,2013-2020
XXXTENTACION,Everybody Dies In Their Nightmares,14237794,2013-2020
Macklemore,Glorious,17664071,2013-2020
Kanye West,I Love It (& Lil Pump),36147990,2013-2020
Coldplay,A Sky Full of Stars,6911681,2013-2020
FRENSHIP,Capsize,12067883,2013-2020
Justin Bieber,Friends,26564864,2013-2020
Kiiara,Gold,9706023,2013-2020
Avicii,Waiting For Love,15652092,2013-2020
The Weeknd,Call Out My Name,40628023,2013-2020
Dalex,Pa Mí - Remix,15702075,2013-2020
R. City,Locked Away,12867274,2013-2020
Mau y Ricky,Desconocidos,11759133,2013-2020
Niall Horan,Slow Hands,12784854,2013-2020
Calvin Harris,Summer,9482413,2013-2020
Coldplay,Adventure of a Lifetime,11783995,2013-2020
The Weeknd,Earned It (Fifty Shades Of Grey),12514101,2013-2020
Cheat Codes,No Promises,14505601,2013-2020
WALK THE MOON,Shut Up and Dance,8167860,2013-2020
Daddy Yankee,Dura,18341763,2013-2020
Bazzi,Beautiful,12052133,2013-2020
George Ezra,Shotgun,11231503,2013-2020
Gucci Mane,Wake Up in the Sky,13354462,2013-2020
Taylor Swift,Look What You Made Me Do,44480002,2013-2020
Piso 21,Déjala que vuelva,11322485,2013-2020
Adele,Send My Love (To Your New Lover),13584892,2013-2020
Billie Eilish,wish you were gay,28662157,2013-2020
Coldplay,Hymn for the Weekend - Seeb Remix,13870439,2013-2020
The Black Eyed Peas,RITMO (Bad Boys For Life),23528266,2013-2020
The Chainsmokers,All We Know,17934292,2013-2020
Enrique Iglesias,SUBEME LA RADIO,13553135,2013-2020
Calvin Harris,Blame,12294095,2013-2020
Ozuna,Baila Baila Baila,16997583,2013-2020
Taylor Swift,You Need To Calm Down,27274424,2013-2020
MAGIC!,Rude,9786082,2013-2020
Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners,15731347,2013-2020
Karol G,Tusa,41434019,2013-2020
Maluma,11 PM,12291848,2013-2020
Nicky Jam,El Perdón,7326481,2013-2020
Flume,Never Be Like You,9239841,2013-2020
CNCO,Reggaetón Lento (Bailemos),10206700,2013-2020
Coldplay,Hymn for the Weekend,10256893,2013-2020
Maluma,Corazón,13766534,2013-2020
DaBaby,Suge,12831493,2013-2020
Maluma,HP,15445245,2013-2020
Ed Sheeran,South of the Border,20785809,2013-2020
Alessia Cara,Scars To Your Beautiful,10462379,2013-2020
XXXTENTACION,Arms Around You,26157297,2013-2020
Jason Mraz,I'm Yours,5127210,2013-2020
Enrique Iglesias,DUELE EL CORAZON,10604406,2013-2020
Lil Dicky,Freaky Friday,23545449,2013-2020
MØ,Final Song,13084996,2013-2020
Big Sean,Bounce Back,13223799,2013-2020
A$AP Rocky,Praise The Lord (Da Shine),13341403,2013-2020
Regard,Ride It,17371573,2013-2020
Lil Baby,Yes Indeed,16713448,2013-2020
Pitbull,Timber,6968180,2013-2020
Martin Garrix,There for You,16703242,2013-2020
Charlie Puth,How Long,14554590,2013-2020
Harry Styles,Sign of the Times,18365320,2013-2020
Nicky Jam,Te Robaré,12171705,2013-2020
Bruno Mars,Finesse - Remix feat. Cardi B,20387864,2013-2020
Billie Eilish,everything i wanted,40323676,2013-2020
G-Eazy,Him & I,19156433,2013-2020
Selena Gomez,Good For You,10262365,2013-2020
Anuel Aa,Ella Quiere Beber - Remix,11131112,2013-2020
David Guetta,Flames,14405289,2013-2020
Lil Peep,Falling Down - Bonus Track,32511658,2013-2020
Billie Eilish,ocean eyes,6591565,2013-2020
Calvin Harris,Giant,14833347,2013-2020
Imagine Dragons,Whatever It Takes,8662342,2013-2020
Felix Jaehn,Ain't Nobody (Loves Me Better),8602659,2013-2020
Becky G,Mayores,10392546,2013-2020
Clean Bandit,I Miss You,12939221,2013-2020
Anitta,Downtown,12734008,2013-2020
BTS,Boy With Luv,31340590,2013-2020
Imagine Dragons,Bad Liar,15444402,2013-2020
Ozuna,Se Preparó,11079041,2013-2020
Mr. Probz,Waves - Robin Schulz Radio Edit,7253925,2013-2020
6ix9ine,BEBE,15167729,2013-2020
Macklemore & Ryan Lewis,Can't Hold Us,4780310,2013-2020
Toto,Africa,4927781,2013-2020
Chris Jeday,Ahora Dice,9557956,2013-2020
James Bay,Let It Go,4186310,2013-2020
Marshmello,Here With Me,16095016,2013-2020
Meghan Trainor,All About That Bass,10717542,2013-2020
Dominic Fike,3 Nights,9924129,2013-2020
Bad Bunny,Sensualidad,12487991,2013-2020
Nicky Jam,El Amante,10699820,2013-2020
Michael Bublé,It's Beginning to Look a Lot Like Christmas,25997383,2013-2020
Khalid,Saturday Nights,14560398,2013-2020
Ariana Grande,Santa Tell Me,27506141,2013-2020
Louis Tomlinson,Back to You,17094543,2013-2020
Ed Sheeran,I See Fire,4551384,2013-2020
One Direction,Drag Me Down,17373478,2013-2020
Rita Ora,Your Song,12547789,2013-2020
Sofia Reyes,"1, 2, 3",11428399,2013-2020
Kygo,Higher Love,13369617,2013-2020
David Guetta,Bang My Head,10486838,2013-2020
J Balvin,QUE PRETENDES,17357042,2013-2020
Ariana Grande,breathin,25997814,2013-2020
Calvin Harris,Outside,8370861,2013-2020
DJ Luian,Verte Ir,12586861,2013-2020
Jax Jones,You Don't Know Me,15002138,2013-2020
Selena Gomez,Hands To Myself,12292984,2013-2020
Alessia Cara,How Far I'll Go,13543940,2013-2020
A Boogie Wit da Hoodie,Look Back At It,15088372,2013-2020
Fetty Wap,679,9291126,2013-2020
Billie Eilish,idontwannabeyouanymore,7849228,2013-2020
Ariana Grande,Problem,7890249,2013-2020
Lost Frequencies,Are You With Me,8857030,2013-2020
Flo Rida,GDFR,9333191,2013-2020
Maroon 5,Maps,8328898,2013-2020
Katy Perry,Never Really Over,19261920,2013-2020
Migos,Walk It Talk It,14695037,2013-2020
YNW Melly,Murder On My Mind,16272850,2013-2020
DJ Khaled,No Brainer,27708887,2013-2020
Trevor Daniel,Falling,29014454,2013-2020
Kygo,Stargazing,14648618,2013-2020
Pharrell Williams,Happy,6678956,2013-2020
Lukas Graham,Love Someone,8993351,2013-2020
J Balvin,Bonita,9583163,2013-2020
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,6828745,2013-2020
Lady Gaga,Always Remember Us This Way,10609476,2013-2020
Katy Perry,Chained To The Rhythm,21872281,2013-2020
Nico & Vinz,Am I Wrong,6303006,2013-2020
Ellie Goulding,On My Mind,12769261,2013-2020
Queen,Under Pressure - Remastered,8823104,2013-2020
Paulo Londra,Tal Vez,13246024,2013-2020
P!nk,What About Us,14750631,2013-2020
J Balvin,No Es Justo,12339454,2013-2020
Sech,Otro Trago - Remix,20076277,2013-2020
David Guetta,This One's for You,16766892,2013-2020
The Weeknd,Blinding Lights,37841717,2013-2020
Manuel Turizo,Una Lady Como Tú,9818595,2013-2020
Fifth Harmony,Worth It,8538491,2013-2020
Juice WRLD,Robbery,16634927,2013-2020
Ariana Grande,Break Free,9101875,2013-2020
Mustard,Pure Water,11041777,2013-2020
Tainy,Adicto,12995071,2013-2020
Juice WRLD,All Girls Are The Same,9718306,2013-2020
Future,Low Life,7228219,2013-2020
G-Eazy,No Limit,14134442,2013-2020
Ariana Grande,Dangerous Woman,14064403,2013-2020
J. Cole,No Role Modelz,3883679,2013-2020
Miley Cyrus,Malibu,21768525,2013-2020
Martin Garrix,Summer Days,15428634,2013-2020
Galantis,Runaway (U & I),4898044,2013-2020
David Guetta,Hey Mama,12188020,2013-2020
Bastille,Pompeii,4075094,2013-2020
Dan + Shay,"10,000 Hours",26054266,2013-2020
Machine Gun Kelly,Bad Things - With Camila Cabello,14773524,2013-2020
Flipp Dinero,Leave Me Alone,11045665,2013-2020
Rich The Kid,Plug Walk,14913401,2013-2020
Eminem,Lucky You,34874403,2013-2020
Martin Garrix,Ocean,18993111,2013-2020
Sia,Elastic Heart,8781820,2013-2020
Maroon 5,Animals,8076199,2013-2020
J Balvin,Safari,7832658,2013-2020
Ricky Martin,Vente Pa' Ca,7207223,2013-2020
ROSALÍA,"Yo x Ti, Tu x Mi",15070652,2013-2020
Ozuna,Síguelo Bailando,9646227,2013-2020
Rita Ora,Let You Love Me,12483237,2013-2020
