decade,artist,title
2010s,will.i.am & Britney Spears,Scream & Shout
2010s,Maroon 5,Sugar
2010s,Drake,Hotline Bling
2010s,"Major Lazer, Justin Bieber & MO",Cold Water
2010s,Shawn Mendes,Treat You Better
2010s,DNCE,Cake By The Ocean
2010s,Khalid & Normani,Love Lies
2010s,Imagine Dragons,Demons
2010s,Rihanna,Only Girl (In The World)
2010s,Fifth Harmony & Ty Dolla Sign,Work From Home
2010s,Magic!,Rude
2010s,Shawn Mendes,There's Nothing Holdin' Me Back
2010s,Mr Probz,Waves
2010s,Ed Sheeran,Castle On The Hill
2010s,Jason Derulo,Want To Want Me
2010s,Marshmello & Anne-Marie,Friends
2010s,Ke$ha,Tik-Toc
2010s,Kygo & Selena Gomez,It Ain't Me
2010s,Flo-Rida,Good Feeling
2010s,Drake,In My Feelings
2010s,Ariana Grande,"Thank U, Next"
2010s,Kendrick Lamar,Humble
2010s,Justin Timberlake,Mirrors
2010s,XXXTentacion,Sad!
2010s,Rihanna & Mikky Ekko,Stay
2010s,Shakira & Freshly Ground,Waka Waka (This Time For Africa)
2010s,Taylor Swift,Blank Space
2010s,Drake,Nice For What
2010s,Khalid,Better
2010s,The Weeknd,Earned It (Fifty Shades Of Grey)
2010s,Jason Derulo & 2 Chainz,Talk Dirty
2010s,Chris Brown & Drake,No Guidance
2010s,Train,"Hey, Soul Sister"
2010s,Maroon 5,One More Night
2010s,fun.,Some Nights
2010s,Katy Perry & Snoop Dogg,California Gurls
2010s,G-Eazy & Bebe Rexha,"Me, Myself & I"
2010s,The Weeknd & Daft Punk,I Feel It Coming
2010s,Ariana Grande,No Tears Left To Cry
2010s,Kungs & Cookin' On 3 Burners,This Girl
2010s,Foster the People,Pumped Up Kicks
2010s,Lady GaGa,Bad Romance
2010s,Post Malone & Quavo,Congratulations
2010s,Maroon 5 & Wiz Khalifa,Payphone
2010s,Ed Sheeran & Khalid,Beautiful People
2010s,Rag'n'Bone Man,Human
2010s,Sam Smith,I'm Not The Only One
2010s,Miley Cyrus,Wrecking Ball
2010s,Iggy Azalea & Charli XCX,Fancy
2010s,"DJ Snake, Selena Gomez, Ozuna & Cardi B",Taki Taki
2010s,Rihanna & Eminem,The Monster
2010s,Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker)
2010s,Cee-Lo Green,F**k You/Forget You
2010s,Nico & Vinz,Am I Wrong
2010s,The Black Eyed Peas,I Gotta Feeling
2010s,"DJ Khaled, Rihanna & Bryson Tiller",Wild Thoughts
2010s,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne",I'm The One
2010s,Dynoro & Gigi D'Agostino,In My Mind
2010s,David Guetta & Usher,Without You
2010s,Nicki Minaj,Starships
2010s,Dean Lewis,Be Alright
2010s,"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang
2010s,Skrillex & Diplo,Where Are U Now
2010s,Avicii,"Hey, Brother"
2010s,Vance Joy,Riptide
2010s,Alan Walker,Faded
2010s,Cardi B,Bodak Yellow (Money Moves)
2010s,Sam Smith,Too Good At Goodbyes
2010s,Taylor Swift,I Knew You Were Trouble
2010s,Alex Clare,Too Close
2010s,Flo-Rida,Whistle
2010s,Bruno Mars,When I Was Your Man
2010s,Ellie Goulding,Burn
2010s,Future,Mask Off
2010s,Meek Mill & Drake,Going Bad
2010s,Capital Cities,Safe And Sound
2010s,Coldplay,Paradise
2010s,Martin Garrix,Animals
2010s,Twenty One Pilots,Ride
2010s,Usher & Pitbull,DJ Got Us Fallin' In Love
