artist,title,views,current avg/day
Diddy - Dirty Money & Skylar Grey - Coming Home,error,1667775,N/A
Miley Cyrus,Malibu,1666761,N/A
JAY Z,Holy Grail,1666130,N/A
Meghan Trainor,Lips Are Movin,1662441,N/A
P!nk,F**kin' Perfect,1658493,N/A
Justin Bieber,As Long As You Love Me,1646643,N/A
Rihanna,What's My Name,1645164,N/A
Drake,In My Feelings,1639535,N/A
DJ Antoine & Timati,Welcome to St. Tropez,1637626,N/A
Calum Scott,You Are the Reason,1637599,N/A
Dua Lipa,Be the One,1637508,N/A
Imagine Dragons,It's Time,1636884,N/A
Snow Patrol,Chasing Cars,1633451,N/A
Chris Brown,Beautiful People,1632114,N/A
Lady Gaga,Do What U Want,1631785,N/A
Ke$ha,Die Young,1609849,N/A
Tove Lo,Habits,1607753,N/A
Beyoncé,Drunk In Love,1606586,N/A
Mike Posner,Cooler Than Me,1605796,N/A
Pitbull,Fireball,1602339,N/A
Daddy Yankee,Limbo,1602174,N/A
Lady GaGa,Poker Face,1600711,N/A
ZAYN,PILLOWTALK,1598827,N/A
Sheppard,Geronimo,1598003,N/A
will.i.am,#thatPOWER,1597987,N/A
Major Lazer,Light It Up,1595068,N/A
Sean Paul,She Doesn't Mind,1593400,N/A
Echosmith,Cool Kids,1592070,N/A
Charli XCX,Boom Clap,1591990,N/A
Wiz Khalifa,Black and Yellow,1589978,N/A
Regard,Ride It,1588754,N/A
Enrique Iglesias,I Like It,1587985,N/A
Justin Timberlake,Suit & Tie,1587497,N/A
Dua Lipa,Don't Start Now,1587447,N/A
Birdy,Skinny Love,1587333,N/A
Ofenbach,Be Mine,1587022,N/A
Pitbull,Don't Stop the Party,1586978,N/A
P!nk,Walk Me Home,1585740,N/A
The Chainsmokers,Paris,1584047,N/A
Avicii & Nicky Romero,I Could Be the One,1583267,N/A
Kings of Leon,Use Somebody,1581796,N/A
Iggy Azalea,Black Widow,1581155,N/A
Coldplay & Rihanna,Princess of China,1578474,N/A
Martin Garrix & Bebe Rexha,In the Name of Love,1577602,N/A
David Guetta & Showtek,Bad,1575654,N/A
Pedro Capó & Farruko,Calma,1571721,N/A
Swedish House Mafia,Save the World,1567767,N/A
