Artist and Title,Days,Pk,(x?),Total,Today
Kaleo - Way Down We Go,320,18,,2071488,169
Katy Perry - Last Friday Night,235,5,,2058999,0
French Montana - Unforgettable,304,10,,2047638,41
Shakira - Can't Remember To Forget You,137,1,(x2),2047579,333
Justin Bieber - Beauty and a Beat,257,9,,2042608,20
Enrique Iglesias - Tonight,228,6,,2039263,0
Gusttavo Lima - Balada,281,11,,2025318,127
Enrique Iglesias - SÚBEME LA RADIO,248,14,,2018263,37
Skrillex - Bangarang,423,35,,2013999,33
Calvin Harris - Sweet Nothing,257,10,,2010898,56
Labrinth - Beneath Your Beautiful,316,20,,2006729,44
Dean Lewis - Be Alright,343,11,,2006426,234
Imagine Dragons - Bad Liar,417,9,,2002758,1322
Sak Noel - Loca People,253,10,,2002498,7
Lauren Daigle - You Say,570,20,,1989649,2024
Chris Brown - Yeah 3X,262,9,,1988990,0
Shawn Mendes - In My Blood,277,1,(x6),1988153,0
Britney Spears - Till the World Ends,198,3,(x1),1985104,0
Kid Cudi - Pursuit of Happiness,236,39,,1984977,307
David Guetta - Lovers on the Sun,196,9,,1984879,8
Sam Smith - Writing's on the Wall,183,1,(x1),1981194,130
Katy Perry - California Gurls,206,2,(x5),1975622,0
Selena Gomez & The Scene - Love You Like a Love Song,402,31,,1975155,22
Tom Walker - Leave a Light On,498,17,,1967390,83
Avicii - The Nights,268,7,,1958117,49
Nelly - Just a Dream,224,6,,1955405,0
Coldplay - Fix You,68,26,,1943272,491
Calvin Harris - My Way,174,2,(x1),1938920,18
James Bay - Hold Back the River,265,9,,1936747,26
Coldplay - Every Teardrop Is a Waterfall,198,1,(x5),1936214,0
DJ Khaled - Wild Thoughts,165,2,(x4),1929564,23
Cee Lo Green - F**k You,215,6,,1918995,0
Liam Payne & Rita Ora - For You,215,1,(x6),1918343,76
Bruno Mars - It Will Rain,195,10,,1916694,25
Ariana Grande - Side To Side,193,9,,1914786,22
Kiesza - Hideaway,239,13,,1914156,0
"Zedd, Maren Morris & Grey - The Middle",257,6,,1908879,32
Kings of Leon - Sex On Fire,214,41,,1908834,143
Far East Movement - Like A G6,201,5,,1904585,0
Ed Sheeran - The a Team,327,27,,1903784,16
Lady Gaga - I'll Never Love Again,422,4,,1902429,1705
Usher - More,236,10,,1897363,0
Marshmello - Silence,274,13,,1894417,0
Avicii - Waiting for Love,196,5,,1876656,3
Zedd & Alessia Cara - Stay,215,7,,1876337,0
Taylor Swift - Bad Blood,149,2,(x20),1872884,71
Gym Class Heroes - Stereo Hearts,251,8,,1871694,0
ZAZ - Je veux,256,44,,1855568,309
Eminem - Lose Yourself,50,96,,1855094,511
Desiigner - Panda,225,10,,1852947,523
Julia Michaels - Issues,272,16,,1852261,0
Jonas Blue - Perfect Strangers,225,11,,1843937,0
Demi Lovato - Let It Go,246,22,,1839425,68
Justin Timberlake - Say Something,218,2,(x1),1836907,4
Post Malone - Circles,159,5,,1827098,10013
Taio Cruz - Higher,229,8,,1826607,38
Taylor Swift - Look What You Made Me Do,161,1,(x20),1825681,96
will.i.am - This Is Love,219,8,,1819844,20
Daddy Yankee - Con Calma,275,11,,1816131,491
Lady GaGa - Bad Romance,288,30,,1813742,160
Ariana Grande - 7 rings,226,1,(x9),1809317,554
Jessie J - Domino,265,19,,1803967,0
Ed Sheeran - Don't,287,4,,1803839,0
Alice Merton - No Roots,473,40,,1803561,54
Jessie J - Flashlight,221,13,,1798968,93
Jonas Blue - Mama,215,10,,1794099,0
Lady Gaga - Million Reasons,264,4,,1789320,377
Kygo & Whitney Houston - Higher Love,222,5,,1788308,1751
One Direction - Drag Me Down,172,1,(x13),1782589,175
Calum Scott - Dancing on My Own,302,25,,1777408,638
Selena Gomez - Come & Get It,193,13,,1772133,34
Justin Bieber - Boyfriend,176,1,(x3),1769282,43
"gnash - i hate u, i love u",269,16,,1766132,44
"Ariana Grande - thank u, next",179,1,(x13),1764392,107
Meghan Trainor - Like I'm Gonna Lose You,298,34,,1763911,357
Lana Del Rey & Cedric Gervais - Summertime Sadness,207,13,,1763728,167
Katy Perry - Wide Awake,238,8,,1763310,43
Jesse & Joy - ¡Corre,266,53,,1761564,231
OneRepublic - Love Runs Out,224,14,,1757902,102
Flo Rida - I Cry,224,7,,1755392,0
Eagles - Hotel California,19,8,,1754691,302
Duke Dumont - Ocean Drive,341,31,,1753998,222
DJ Khaled - I'm the One,147,1,(x2),1749831,0
Charlie Puth - How Long,234,9,,1747126,0
Sean Paul - Got 2 Luv U,245,12,,1744909,0
Feder - Goodbye,248,26,,1738076,61
The Chainsmokers - Roses,213,12,,1736322,49
Lorde - Team,229,17,,1735723,20
Vance Joy - Riptide,317,39,,1731463,83
Katy Perry - E.T.,195,6,,1729015,0
Ariana Grande - One Last Time,211,3,(x1),1727615,99
Naughty Boy - Runnin',256,6,,1727612,178
"Emeli Sandé - Read All About It, Pt. III",392,29,,1726439,16
Ke$ha - We R Who We R,185,6,,1724449,0
JAY Z & Kanye West - Ni**as in Paris,366,43,,1724157,0
Justin Bieber & BloodPop® - Friends,215,1,(x3),1722749,0
Jax Jones - You Don't Know Me,213,8,,1722049,0
Silento - Watch Me,246,15,,1719922,51
Rag'n'Bone Man - Skin,268,14,,1717494,36
Rihanna - Love on the Brain,277,23,,1713609,130
Rita Ora - Anywhere,269,11,,1706137,36
Nicki Minaj - Super Bass,273,22,,1701171,0
Niall Horan - Slow Hands,234,1,(x2),1695305,0
Taylor Swift - Wildest Dreams,180,4,,1691491,98
Chris Brown - Don't Wake Me Up,224,15,,1680191,0
Demi Lovato - Heart Attack,202,12,,1678600,17
